timestamp,operator,total,items,remaining
23/12/2025 14:38,mook,155.0,Pocky Chocolate x2 | Lays Original 48g x3 | KitKat 2 Finger x1,"Pocky Chocolate=6, Lays Original 48g=12, KitKat 2 Finger=11"
23/12/2025 14:48,Gao 1D,55.0,Pocky Chocolate x1 | Lays Original 48g x1,"Pocky Chocolate=5, Lays Original 48g=11"
23/12/2025 15:13,Bank 1D,105.0,Pocky Chocolate x3,Pocky Chocolate=2
23/12/2025 15:18,Bank 1D,35.0,Pocky Chocolate x1,Pocky Chocolate=1
23/12/2025 16:01,mook,55.0,Lays Original 48g x1 | Pocky Chocolate x1,"Lays Original 48g=10, Pocky Chocolate=0"
23/12/2025 16:25,Unknown บุคคลนอกแลป,70.0,Lays Original 48g x1 | KitKat 2 Finger x2,"Lays Original 48g=9, KitKat 2 Finger=9"
26/12/2025 21:05,Puenkler 1D,14.0,Aquafina ขวดเล็ก x2,Aquafina ขวดเล็ก=10
26/12/2025 21:09,Puenkler 1D,28.0,Aquafina ขวดเล็ก x4,Aquafina ขวดเล็ก=6
26/12/2025 21:10,Stamp 1D,30.0,yakult x3,yakult=17
26/12/2025 21:15,Stamp 1D,30.0,yakult x3,yakult=14
26/12/2025 21:17,Stamp 1D,30.0,yakult x3,yakult=11
26/12/2025 21:46,Oak 4D,45.0,มาม่า ข้าวต้ม รสหมูสับกระเทียมพริกไทย x3,มาม่า ข้าวต้ม รสหมูสับกระเทียมพริกไทย=9
